Upload Date,Channel,Title,Views,Video URL,Thumbnail Path,Description
2025-08-19,Study Hall ,How to Identify Dependent & Independent Variables | Statistics Ep 4,3946,https://www.youtube.com/watch?v=_EWbZbSIqXc,src/assets/thumbnails/2025-08-19-1.jpg,"To make sense of the world, we need to understand cause and effect. Like, does caring for your bougainvillea make you happy, or does being happy make you likelier to take care of your plant? Answering questions like these involves statistics — including dependent and independent variables. This episode dives into what those variables are, and how they set the scene for investigating the hidden relationships between nearly everything."
2025-08-05,Study Hall ,Introduction to Statistics | Statistics Ep. 2,11078,https://www.youtube.com/watch?v=TVARPjU4tyw,src/assets/thumbnails/2025-08-05-1.jpg,"To understand the world, we group things together: people, computer files, trees, Italian restaurant fan favorites… you name it. But who says that my understanding is the same as your understanding? That means we need ways to evaluate other people’s stories, so that we can craft our own opinions on  big issues. Statistics is humanity's best toolkit for distilling data about lots of stuff into reliable and comprehensible conclusions about everything from cookies to climate change. Your journey to mastering this essential subject starts here."
2025-05-16,SciShow,The Last Person Standing In Nuclear War,182148,https://www.youtube.com/watch?v=72CyTqpSd14,src/assets/thumbnails/2025-05-16-1.jpg,"In a nuclear explosion, how close you are impacts your chance of survival. But who you are also has more influence than you might think. If everyone on Earth were equidistant from the bomb, here's the last person standing."
2025-01-30,SciShow,AI Doesn't Need To Be Self-Aware To Be Dangerous,216439,https://www.youtube.com/watch?v=gDKW0nldkxs,src/assets/thumbnails/2025-01-30-1.jpg,"Artificial Intelligence always takes over humanity in the movies when it gains consciousness. But even without getting into sentience, it's capable of influencing our lives in a lot of ways already."
2024-08-20,SciShow,Why We Need Camels To Treat Cancer,92225,https://www.youtube.com/watch?v=OUaqrnJRI8Y,src/assets/thumbnails/2024-08-20-1.jpg,"In the fight against diseases like cancers and blood disorders, sometimes we need to turn to unexpected allies. And in this case, one of those allies was a tiny little nanobody hiding inside of... camels."
2024-05-24,SciShow,Can You Make A Computer Out Of Food?,80791,https://www.youtube.com/watch?v=sWtky50EuvA,src/assets/thumbnails/2024-05-24-1.jpg,"Could an edible computer be in your future? Researchers are currently working on several of the components you find in them, from batteries to circuit boards to logic gates."
2024-02-08,Veritasium,Why It Was Almost Impossible to Make the Blue LED,47603311,https://www.youtube.com/watch?v=AF8d72mA41M,src/assets/thumbnails/2024-02-08-1.jpg,The blue LED was supposed to be impossible—until a young engineer proposed a moonshot idea.
2024-02-05,SciShow,We Finally Made Synthetic Spider Silk,435042,https://www.youtube.com/watch?v=rLtOcr6gMaQ,src/assets/thumbnails/2024-02-05-1.jpg,"The ability to produce synthetic spider silk would give us bulletproof vests better than Kevlar, biocompatible sutures and wound dressings, and even space elevators. The problem is being able to make it in large amounts. One group may have solved that problem, and changed the definition of ""toughness"" in the process."
2023-12-06,Study Hall ,Modeling Mice With For Loops in Java | Code and Programming for Beginners 16 of 28 | Study Hall,2607,https://www.youtube.com/watch?v=FNvGn2mIkaI,src/assets/thumbnails/2023-12-06-1.jpg,"It’s time to put our knowledge about for loops into practice! In this episode, we’ll revisit our radioactive mice and see how programming in Java can help us solve even more questions about them, including modeling their movements with Brownian motion."
2023-11-29,Study Hall ,For Loops vs. While Loops | Code and Programming for Beginners 15 of 28 | Study Hall,2900,https://www.youtube.com/watch?v=pyOAWCNJL4k,src/assets/thumbnails/2023-11-29-1.jpg,"When you’re solving a repetitive problem with a Java program, you’ll probably want to use a loop. And a big part of programming is choosing the right tool for the task at hand! The while loop is great when you need flexibility in when the loop stops, but the for loop is the best tool for the job when you know exactly how many times you want your program to repeat."
2023-11-10,SciShow,The Electric Light Bulb Was Invented Centuries Before Edison,174689,https://www.youtube.com/watch?v=5_pGeoUesqA,src/assets/thumbnails/2023-11-10-1.jpg,"Thomas Edison often gets credit for the invention of the light bulb, but a good argument can be made that they were around centuries earlier in the form of barometric light."
2023-11-01,Study Hall ,What is Recursion? | Code and Programming for Beginners 12 of 28 | Study Hall,3252,https://www.youtube.com/watch?v=6fvHMvJ2ZLg,src/assets/thumbnails/2023-11-01-1.jpg,"Although we tend to think of computer programs executing in a tidy path from input to output, a simple trick called recursion lets us twist computer programs into repeating themselves. As weird as it sounds, recursion can actually help keep our code readable, manageable and easier to change down the line!"
2023-09-13,Study Hall ,Using Java to Create a Simple Program | Code and Programming for Beginners 6 of 28 | Study Hall,6058,https://www.youtube.com/watch?v=GzrChaXwjXY,src/assets/thumbnails/2023-09-13-1.jpg,"The magic of programming is that a little goes a long way. With just a few simple elements of Java: declaring variables, assigning values with simple expressions, inputting data and printing it to a screen, we have what we need to write complete Java programs to tackle problems including... radioactive mice?? Sound Design by Andrew Smith"
2023-08-23,Study Hall ,Manipulating Data with Expressions | Code and Programming for Beginners 3 of 28 | Study Hall,11935,https://www.youtube.com/watch?v=xPk0VgPQvmw,src/assets/thumbnails/2023-08-23-1.jpg,"One of the main purposes of programming is to get a computer to do data crunching that would be difficult or tedious for people to do. In this episode, we explore the basic building blocks for getting computers to do useful things with data: expressions."
2023-08-16,Study Hall ,Computer Memory & Variables | Code and Programming for Beginners 2 of 28 | Study Hall,16302,https://www.youtube.com/watch?v=9FlYzK8rPFs,src/assets/thumbnails/2023-08-16-1.jpg,"Memorizing and keeping track of lots of details, like numbers and text, is essential for the kinds of complicated tasks we want computers to do. In this episode, we explore the different systems of computer memory, what they accomplish, and how we make use of them in programming using variables."
2023-08-09,Study Hall ,What is computer programming? | Code and Programming for Beginners 1 of 28 | Study Hall,41125,https://www.youtube.com/watch?v=zDsD5s3GO-A,src/assets/thumbnails/2023-08-09-1.jpg,"Computers are an essential part of everyday life, from running our cars to enabling lightning-fast communication around the world. And that incredible versatility comes from the different programs they run. Amazingly, this power is something everyone can harness through programming, which is writing programs. This episode takes us through the main functions of a computer and some of the core concepts in the programming process."
2023-07-14,Study Hall ,Why Study Information Technology? | College Majors | College Degrees | Study Hall,21529,https://www.youtube.com/watch?v=8vY3TX8wQU0,src/assets/thumbnails/2023-07-14-1.jpg,"What can you do with an information technology degree? Information Technology (IT) is a topic that explores computing infrastructure and how to manage it in the context of an organization. A degree in IT can equip you with technical skills highly sought for by different employers looking to use technology to be more effective. If problem-solving, tinkering with computers, analytical and creative thinking all sound appealing, then an IT major might be the right choice for you!"
2023-06-06,SciShow,Why Is ChatGPT Bad At Math?,155237,https://www.youtube.com/watch?v=lo82twBZT8Q,src/assets/thumbnails/2023-06-06-1.jpg,"Sometimes, you ask ChatGPT to do a math problem that an arithmetically-inclined grade schooler can do with ease. And sometimes, ChatGPT can confidently state the wrong answer. It's all due to its nature as a large language model, and the neural networks it uses to interact with us."
2023-05-26,Study Hall ,Why Study Mathematics? | College Majors | College Degrees | Study Hall,31535,https://www.youtube.com/watch?v=00EvV1aiJec,src/assets/thumbnails/2023-05-26-1.jpg,"What can you do with a math major?
Math is the study of patterns and abstract relationships, in both the real world and the lofty realms of pure theory. Basically, math is about understanding patterns, quantifying relationships, and reaching logical conclusions. A degree in math can equip you with quantitative problem-solving skills that are highly sought after in many careers. If self-study, creative thinking, persistence and deep, intricate logic all sound appealing, then a math major could be the right choice for you! Script edited by Rachel Alatalo"
2023-04-13,Study Hall ,Trigonometry | Real World College Math | Study Hall,5629,https://www.youtube.com/watch?v=GltOrM94EtA,src/assets/thumbnails/2023-04-13-1.jpg,"From rooftops and collections of objects, to GPS navigation satellites orbiting Earth, everything in the world around us is at some kind of an angle. Geometry has a whole set of tools for making use of all these angles everywhere: trigonometry. In this episode, we discuss the world of trigonometry and the mathematical functions it uses to describe the relationship between sides and angles."
2023-04-06,Study Hall ,Right Angled Triangles and Pythagoras | Real World College Math | Study Hall,2372,https://www.youtube.com/watch?v=U0vjR6Fxesk,src/assets/thumbnails/2023-04-06-2.jpg,"Right angles are just about everywhere. We see them in everything from coffee tables to buildings, from washing machines to gaming consoles. They’re part of the way we use vectors in linear algebra, and understanding them opens up doors beyond the realms of geometry. In this episode, we discuss right-angled triangles, the mathematical methods for calculating them and how these pop up just about everywhere, from lurking in the physical space to the theoretical level when dealing with abstract relationships!"
2023-04-06,SciShow,You Can Buy Fossils At The Hardware Store?,164232,https://www.youtube.com/watch?v=NaflF9fvhv8,src/assets/thumbnails/2023-04-06-3.jpg,"If you've ever had a pest problem in your home or garden, you may have come across diatomaceous earth as a bug-killing option. This white powdery pest control is made of 100% pure fossils, and we don't just use them for killing bugs! They're used in tons of things, including in nanotechnology!"
2023-03-22,Study Hall ,Cutting the Carbon From Building Blocks - Volumes | Real World College Math | Study Hall,1452,https://www.youtube.com/watch?v=QRSSlyJWm58,src/assets/thumbnails/2023-03-22-1.jpg,"Knowing how much space things occupy is important because… well that’s sort of what the whole universe is! Space with objects in it. In the three dimensions that we’re familiar with, the way we measure the space that stuff takes up is called volume, and it’s another way math helps us get to the heart of objects that make up the world around us. In this episode, we discuss volume and the tools that can help us handle more complicated physical structures and the spatial relationships that we encounter in everyday life."
2023-03-14,Study Hall ,From Soda Cans to Spheres - Surface Areas | Real World College Math | Study Hall,2826,https://www.youtube.com/watch?v=9vVZyiQtmNI,src/assets/thumbnails/2023-03-14-1.jpg,"Whether it’s painting, constructing, wrapping things or even just designing a soda can, understanding surface areas is essential to designing the world around us. And being able to move between two and three dimensions with this type of thinking helps us learn more about the shapes that we interact with. In this episode, we discuss surface area and the ways in which this knowledge can help us navigate and better understand the world around us."
2023-03-13,SciShow,The Sharpest Object In The World Can't Cut Anything,5921608,https://www.youtube.com/watch?v=LK5cPn6eGbc,src/assets/thumbnails/2023-03-13-1.jpg,"Scientists like to measure things, but they've had a heck of a time doing that with sharpness. And even if no one agrees on exactly how to measure it, our search for better tools has recently led to some of the sharpest objects we’ve ever created."
2023-02-14,Study Hall ,Changing Units with Dimensional Analysis | Real World College Math | Study Hall,2846,https://www.youtube.com/watch?v=xduM9WX88zg,src/assets/thumbnails/2023-02-14-1.jpg,"Units are the way we measure things, like, meters and feet; the U.S. dollar and the Euro, or Celsius and Fahrenheit. And, depending on the context, people often use different units for the same problem. In this episode, we discuss Dimensional Analysis, a toolkit math provides for dealing with all the different choices of units and conversions."
2023-01-17,Study Hall ,Compound Interest on Different Timescales | Real World College Math | Study Hall,2141,https://www.youtube.com/watch?v=6ezGO0kN6yM,src/assets/thumbnails/2023-01-17-1.jpg,"When talking about interest and how it affects the money we borrow or lend, it's not always just a matter of deciding between simple and compound interest. Time is a factor that is just as important; not just how much time has passed but the units of time we use to measure. This is where the compounding period comes in. In this episode, we discuss compound interest and the ways in which time affects it."
2023-01-10,Study Hall ,How Money Reproduces: Compound Interest | Real World College Math | Study Hall,2906,https://www.youtube.com/watch?v=eObdtFOCBBk,src/assets/thumbnails/2023-01-10-1.jpg,"While getting money for free is a rare occurrence, there are ways in which you can make your money grow! In this episode, we discuss compound interest which can have dramatic effects in how we approach borrowing and lending money as well as help us make important financial decisions when it comes to spending, saving and investing."
2022-12-26,SciShow,What is the Strongest Magnet We Possibly Could Make?,1873881,https://www.youtube.com/watch?v=Jn4g_IsXZms,src/assets/thumbnails/2022-12-26-1.jpg,"The bigger the electrical current, the more powerful the magnetic field. And we've learned to harness the power of those magnetic fields to do things like accelerate particles and suspend plasma! Five Of The Most Powerful Magnets On Earth"
2022-12-20,Study Hall ,What do I Owe? - Calculating Interest in Finance | Real World College Math | Study Hall,2883,https://www.youtube.com/watch?v=MsP2cThksio,src/assets/thumbnails/2022-12-20-1.jpg,"You've probably heard the saying ""Money Makes the World Go Round"" and while on its own, money may not do much, you can certainly use it to do plenty of things. Knowing how to use and manage money can help you navigate the world and accomplish goals. In this episode, we dive into the world of finance and discuss interest and its effect on each of our financial decisions."
2022-12-15,Study Hall ,Not-so Normal: Non-Standard Normal Distributions | Real World College Math | Study Hall,2621,https://www.youtube.com/watch?v=WNKNb0poOqs,src/assets/thumbnails/2022-12-15-1.jpg,"The bell-shaped curve we find in Normal Distributions is defined by two things: mean and standard deviation. These factors can help us understand more complex problems that are not-so-standard. In this episode, we discuss Non-Standard Normal Distributions and how we can lean on simpler concepts we already understand to solve more unusual ones."
2022-11-30,Study Hall ,Measures of Dispersion | Real World College Math | Study Hall,4189,https://www.youtube.com/watch?v=mLu3LqEyqdU,src/assets/thumbnails/2022-11-30-1.jpg,"Understanding variation and how data is dispersed helps us grapple with the thing that makes the data interesting in the first place. Sometimes to capture valuable information we need to go beyond averages and explore the math behind how spread out our data is. In this episode, we discuss measures of dispersion and how this tool can give us more insight into our sets of data."
2022-11-08,Study Hall ,Data Visualization | Real World College Math | Study Hall,3642,https://www.youtube.com/watch?v=NOmvFSvSsoQ,src/assets/thumbnails/2022-11-08-1.jpg,"Our eyes and brains combined are incredible information-processing machines which is why we can often understand things more quickly by looking at visuals. In this episode, we discuss how we can get the deeper meaning behind data by visualizing the information we have available to us."
2022-11-01,SciShow,"A Molecule-Thick Coating Changes What a Surface Does, Thanks to Nanoscience",220069,https://www.youtube.com/watch?v=otCcg8CfheQ,src/assets/thumbnails/2022-11-01-1.jpg,"From removing glare in windows to making pacemakers safer, monolayers hold a number of possibilities for advances in future technology."
2022-10-18,Study Hall ,Dependent and Independent Probabilities | Real World College Math | Study Hall,3966,https://www.youtube.com/watch?v=k0HX5tx5hHI,src/assets/thumbnails/2022-10-18-1.jpg,"When planning for the future and attempting to make choices, chance and probability can play a trickier role than we might expect! Whether two events depend on each other or not, can drastically affect the results of your predictions. In this episode, we discuss independent, dependent, and conditional probabilities and all the ways outcomes can be influenced by the relationship between events!"
